model_key,brand,model,title,price,reference_price,type,placement,capacity,voltage,amperage,plug,emf,spectrum,red_light,ir_wattage,heater,heater_kw,max_temp,exterior_dimensions,interior_dimensions,wood,weight,warranty,inhouse_url
mx-m306-01-fs-ced,Maxxus,MX-M306-01-FS CED,Maxxus 3-Person Full Spectrum Near Zero EMF FAR Infrared Sauna – Canadian Red Cedar,4899.0,7999.0,Infrared,Indoor,3,120V,20A,,Near Zero,Full Spectrum,,,,,,,,Canadian Hemlock / Cedar,,,https://inhousewellness.com/products/maxxus-3-person-sauna-full-spectrum
mx-m356-01-fs,Maxxus,MX-M356-01-FS,"Maxxus MX-M356-01-FS Full Spectrum FAR Infrared Sauna – 3 Person, Hemlock",5299.0,8499.0,Infrared,Indoor,3,120V,,Standard 120V outlet,Low,Full Spectrum,,,,,,,,Canadian Hemlock / Cedar,,,https://inhousewellness.com/products/maxxus-mx-m356-01-fs-ced
mx-s106-01,Maxxus,MX-S106-01,Maxxus MX-S106-01 S-Line 1-Person Low EMF FAR Infrared Sauna w/ Red Light & Bluetooth,2299.0,3999.0,Infrared,Indoor,1,120V,15A,,Low,Far Infrared,True,,,,Up to 140°F,,,Canadian Hemlock,,,https://inhousewellness.com/products/maxxus-mx-s106-01
mx-s206-01,Maxxus,MX-S206-01,Maxxus S Line MX-S206-01 2 Person Low EMF Far Infrared Sauna,2899.0,5999.0,Infrared,Indoor,2,120V,15A,,Ultra Low,Far Infrared,,,,,,,,Canadian Hemlock,,,https://inhousewellness.com/products/maxxus-s-line-mx-s206-01
mx-s206-01-elite,Maxxus,MX-S206-01-ELITE,Maxxus MX-S206-01 ELITE Ultra Low EMF FAR Infrared Sauna 2 Person,6999.0,9100.0,Infrared,Outdoor,2,120V,15A,Standard 120V outlet,Ultra Low,Far Infrared,True,,,,Up to 140°F,,,Canadian Hemlock,,,https://inhousewellness.com/products/maxxus-s206-elite-sauna
mx-s306-01-elite,Maxxus,MX-S306-01-ELITE,Maxxus MX-S306-01 ELITE Ultra Low EMF Far Infrared Sauna (3-Person),7999.0,10400.0,Infrared,Indoor,3,120V/240V,20A,,Ultra Low,Far Infrared,True,,,,Up to 140°F,,,Canadian Hemlock,,,https://inhousewellness.com/products/maxxus-sline-elite-sauna
medical-sauna-traditional5,Medical Saunas,medical-sauna-traditional5,Traditional 5™ 2-Person Sauna - Steam Heat with 3D Therapy™,7799.0,14999.0,Traditional,Indoor,2,220V/240V,30A,,,,,,,,Up to 194°F,,,Canadian Hemlock,,,https://inhousewellness.com/products/medical-sauna-traditional5
medical-sauna-traditional6,Medical Saunas,medical-sauna-traditional6,"Traditional 6 Steam Sauna - 3 Person Capacity, Canadian Hemlock, Rapid Heating",8799.0,18999.0,Traditional,Indoor,3,220V/240V,30A,,,,,,,,,,,Canadian Hemlock,,,https://inhousewellness.com/products/medical-sauna-traditional6
medical-sauna-traditional7,Medical Saunas,medical-sauna-traditional7,Traditional 7™ Sauna | 4-Person Hemlock Sauna with Rapid Heating,10799.0,22999.0,Traditional,Indoor,4,220V,30A,,,,,,,,Up to 194°F,,,Canadian Hemlock,,,https://inhousewellness.com/products/medical-sauna-traditional7
medical-sauna-traditional8,Medical Saunas,medical-sauna-traditional8,Traditional 8 Plus Steam Sauna - 4-6 Person Luxury Hemlock Sauna,13649.0,28999.0,Traditional,Indoor,6,220V/240V,50A,,,,,,,,,,,Canadian Hemlock,,,https://inhousewellness.com/products/medical-sauna-traditional8
rip-soi,Ripavi,RIP-SOI,Ripavi Sointu Finnish Outdoor Sauna – Luxury 8-Person Sauna with Shower & Skylight,49900.0,68000.0,Traditional,Outdoor,8,,,,,,,,,,,,,Spruce,,,https://inhousewellness.com/products/ripavi-sointu-traditional-outdoor
rip-tau,Ripavi,RIP-TAU,"Ripavi Tauko Premium Finnish Sauna – Traditional Wood-Burning or Electric Heater, Luxurious and Sustainable Design",36900.0,44000.0,Traditional,Outdoor,4,,,,,,,,,,,,,Spruce,,,https://inhousewellness.com/products/ripavi-tauko-finish-sauna
sl-cl3g,SaunaLife,SL-CL3G,SaunaLife Model CL3G 2-Person Outdoor Cube Sauna Kit with Glass Front,4940.0,5208.0,Traditional,Outdoor,2,,,,,,,,,,,,,Thermo-Spruce / Thermo-Aspen,,,https://inhousewellness.com/products/saunalife-cl3g
